task,disease_label,rep,fold,base_seed,outer_seed_used,outer_tries,fixed_epochs,final_epoch_rule,E_star,n_train_patients,n_test_patients,outer_test_counts_json,inner_split_ok,inner_split_tries,inner_val_test_size,use_view_fusion,w_all,w_fp,w_ch,T,val_logloss,tuned_json_path,acc,bal_acc,macro_f1,auc,logloss,cm_flat,all_inner_best_epoch,all_inner_best_val_bal,all_inner_best_val_loss,all_final_epochs,all_pos_weight_final,all_lr,all_wd,all_dropout,all_batch_size,all_max_instances_train,all_final_ckpt_pt,all_final_ckpt_meta,fp_inner_best_epoch,fp_inner_best_val_bal,fp_inner_best_val_loss,fp_final_epochs,fp_pos_weight_final,fp_lr,fp_wd,fp_dropout,fp_batch_size,fp_max_instances_train,fp_final_ckpt_pt,fp_final_ckpt_meta,ch_inner_best_epoch,ch_inner_best_val_bal,ch_inner_best_val_loss,ch_final_epochs,ch_pos_weight_final,ch_lr,ch_wd,ch_dropout,ch_batch_size,ch_max_instances_train,ch_final_ckpt_pt,ch_final_ckpt_meta,task_dir,selected_rep
stage1_MIL_Control_vs_Liver,Liver,8,1,7,10007,1,120,median,102,50,13,"{""Control"": 6, ""Liver"": 7}",1,1,0.2,1,0.0,0.0,1.0,0.7,2.2685327109524333e-05,./mil/paper_MIL_OUT_STAGE1_BIN_CV5_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Liver/tuned/rep08_fold01_tuned.json,0.9230769230769232,0.9285714285714286,0.9230769230769232,0.9523809523809524,0.5143883689546455,"6,0,1,6",102,1.0,8.581706060795113e-05,102,1.0833333333333333,0.0002,0.0001,0.35,8,128,./mil/paper_MIL_OUT_STAGE1_BIN_CV5_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Liver/checkpoints/rep08_fold01_viewall_FINAL/model.pt,./mil/paper_MIL_OUT_STAGE1_BIN_CV5_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Liver/checkpoints/rep08_fold01_viewall_FINAL/meta.json,71,1.0,0.0068962052464485,102,1.0833333333333333,0.0002,0.0001,0.35,8,128,./mil/paper_MIL_OUT_STAGE1_BIN_CV5_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Liver/checkpoints/rep08_fold01_viewfp_FINAL/model.pt,./mil/paper_MIL_OUT_STAGE1_BIN_CV5_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Liver/checkpoints/rep08_fold01_viewfp_FINAL/meta.json,120,1.0,0.000451231302577,102,1.0833333333333333,0.0002,0.0001,0.35,8,128,./mil/paper_MIL_OUT_STAGE1_BIN_CV5_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Liver/checkpoints/rep08_fold01_viewch_FINAL/model.pt,./mil/paper_MIL_OUT_STAGE1_BIN_CV5_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Liver/checkpoints/rep08_fold01_viewch_FINAL/meta.json,CTRL_vs_Liver,8
stage1_MIL_Control_vs_Liver,Liver,8,2,7,10007,1,120,median,94,51,12,"{""Control"": 6, ""Liver"": 6}",1,1,0.2,1,0.0,0.0,1.0,0.7,0.0001147824413965,./mil/paper_MIL_OUT_STAGE1_BIN_CV5_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Liver/tuned/rep08_fold02_tuned.json,1.0,1.0,1.0,1.0,0.0052874482781041,"6,0,0,6",94,1.0,0.0006472548511737,94,1.04,0.0002,0.0001,0.35,8,128,./mil/paper_MIL_OUT_STAGE1_BIN_CV5_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Liver/checkpoints/rep08_fold02_viewall_FINAL/model.pt,./mil/paper_MIL_OUT_STAGE1_BIN_CV5_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Liver/checkpoints/rep08_fold02_viewall_FINAL/meta.json,85,1.0,0.0086105857044458,94,1.04,0.0002,0.0001,0.35,8,128,./mil/paper_MIL_OUT_STAGE1_BIN_CV5_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Liver/checkpoints/rep08_fold02_viewfp_FINAL/model.pt,./mil/paper_MIL_OUT_STAGE1_BIN_CV5_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Liver/checkpoints/rep08_fold02_viewfp_FINAL/meta.json,117,1.0,0.0006920228679518,94,1.04,0.0002,0.0001,0.35,8,128,./mil/paper_MIL_OUT_STAGE1_BIN_CV5_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Liver/checkpoints/rep08_fold02_viewch_FINAL/model.pt,./mil/paper_MIL_OUT_STAGE1_BIN_CV5_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Liver/checkpoints/rep08_fold02_viewch_FINAL/meta.json,CTRL_vs_Liver,8
stage1_MIL_Control_vs_Liver,Liver,8,3,7,10007,1,120,median,13,50,13,"{""Control"": 7, ""Liver"": 6}",1,1,0.2,1,0.0,0.9,0.0999999999999999,0.7,0.2958453294540369,./mil/paper_MIL_OUT_STAGE1_BIN_CV5_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Liver/tuned/rep08_fold03_tuned.json,0.9230769230769232,0.9285714285714286,0.9230769230769232,0.9523809523809524,0.2483609439170278,"6,1,0,6",13,0.9,0.1411789953708648,13,1.0,0.0002,0.0001,0.35,8,128,./mil/paper_MIL_OUT_STAGE1_BIN_CV5_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Liver/checkpoints/rep08_fold03_viewall_FINAL/model.pt,./mil/paper_MIL_OUT_STAGE1_BIN_CV5_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Liver/checkpoints/rep08_fold03_viewall_FINAL/meta.json,10,1.0,0.3690707683563232,13,1.0,0.0002,0.0001,0.35,8,128,./mil/paper_MIL_OUT_STAGE1_BIN_CV5_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Liver/checkpoints/rep08_fold03_viewfp_FINAL/model.pt,./mil/paper_MIL_OUT_STAGE1_BIN_CV5_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Liver/checkpoints/rep08_fold03_viewfp_FINAL/meta.json,75,0.9,0.1264659315347671,13,1.0,0.0002,0.0001,0.35,8,128,./mil/paper_MIL_OUT_STAGE1_BIN_CV5_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Liver/checkpoints/rep08_fold03_viewch_FINAL/model.pt,./mil/paper_MIL_OUT_STAGE1_BIN_CV5_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Liver/checkpoints/rep08_fold03_viewch_FINAL/meta.json,CTRL_vs_Liver,8
stage1_MIL_Control_vs_Liver,Liver,8,4,7,10007,1,120,median,114,51,12,"{""Control"": 6, ""Liver"": 6}",1,1,0.2,1,0.0,0.0,1.0,0.7,0.0001999354904027,./mil/paper_MIL_OUT_STAGE1_BIN_CV5_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Liver/tuned/rep08_fold04_tuned.json,1.0,1.0,1.0,1.0,3.788858899272346e-05,"6,0,0,6",120,1.0,0.0002868921146728,114,1.04,0.0002,0.0001,0.35,8,128,./mil/paper_MIL_OUT_STAGE1_BIN_CV5_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Liver/checkpoints/rep08_fold04_viewall_FINAL/model.pt,./mil/paper_MIL_OUT_STAGE1_BIN_CV5_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Liver/checkpoints/rep08_fold04_viewall_FINAL/meta.json,110,1.0,0.0500092916190624,114,1.04,0.0002,0.0001,0.35,8,128,./mil/paper_MIL_OUT_STAGE1_BIN_CV5_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Liver/checkpoints/rep08_fold04_viewfp_FINAL/model.pt,./mil/paper_MIL_OUT_STAGE1_BIN_CV5_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Liver/checkpoints/rep08_fold04_viewfp_FINAL/meta.json,114,1.0,0.0012214128728373,114,1.04,0.0002,0.0001,0.35,8,128,./mil/paper_MIL_OUT_STAGE1_BIN_CV5_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Liver/checkpoints/rep08_fold04_viewch_FINAL/model.pt,./mil/paper_MIL_OUT_STAGE1_BIN_CV5_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Liver/checkpoints/rep08_fold04_viewch_FINAL/meta.json,CTRL_vs_Liver,8
stage1_MIL_Control_vs_Liver,Liver,8,5,7,10007,1,120,median,105,50,13,"{""Control"": 7, ""Liver"": 6}",1,1,0.2,1,0.0,0.0,1.0,0.7,0.0005751535858711,./mil/paper_MIL_OUT_STAGE1_BIN_CV5_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Liver/tuned/rep08_fold05_tuned.json,1.0,1.0,1.0,1.0,0.0016090715581415,"7,0,0,6",106,1.0,0.0118728820234537,105,1.0,0.0002,0.0001,0.35,8,128,./mil/paper_MIL_OUT_STAGE1_BIN_CV5_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Liver/checkpoints/rep08_fold05_viewall_FINAL/model.pt,./mil/paper_MIL_OUT_STAGE1_BIN_CV5_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Liver/checkpoints/rep08_fold05_viewall_FINAL/meta.json,46,1.0,0.056935004889965,105,1.0,0.0002,0.0001,0.35,8,128,./mil/paper_MIL_OUT_STAGE1_BIN_CV5_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Liver/checkpoints/rep08_fold05_viewfp_FINAL/model.pt,./mil/paper_MIL_OUT_STAGE1_BIN_CV5_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Liver/checkpoints/rep08_fold05_viewfp_FINAL/meta.json,105,1.0,0.0021866811439394,105,1.0,0.0002,0.0001,0.35,8,128,./mil/paper_MIL_OUT_STAGE1_BIN_CV5_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Liver/checkpoints/rep08_fold05_viewch_FINAL/model.pt,./mil/paper_MIL_OUT_STAGE1_BIN_CV5_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Liver/checkpoints/rep08_fold05_viewch_FINAL/meta.json,CTRL_vs_Liver,8
stage1_MIL_Control_vs_Bile,Bile,2,1,1,10001,1,120,median,111,57,14,"{""Control"": 6, ""Bile"": 8}",1,1,0.2,1,0.0,0.0,1.0,0.7,0.036767237550891,./mil/paper_MIL_OUT_STAGE1_BIN_CV5_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Bile/tuned/rep02_fold01_tuned.json,0.9285714285714286,0.9375,0.9282051282051282,0.8958333333333334,0.9895326149543492,"6,0,1,7",111,1.0,0.0003177269827574,111,0.8387096774193549,0.0002,0.0001,0.35,8,128,./mil/paper_MIL_OUT_STAGE1_BIN_CV5_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Bile/checkpoints/rep02_fold01_viewall_FINAL/model.pt,./mil/paper_MIL_OUT_STAGE1_BIN_CV5_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Bile/checkpoints/rep02_fold01_viewall_FINAL/meta.json,91,1.0,0.0014707408845424,111,0.8387096774193549,0.0002,0.0001,0.35,8,128,./mil/paper_MIL_OUT_STAGE1_BIN_CV5_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Bile/checkpoints/rep02_fold01_viewfp_FINAL/model.pt,./mil/paper_MIL_OUT_STAGE1_BIN_CV5_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Bile/checkpoints/rep02_fold01_viewfp_FINAL/meta.json,112,1.0,0.0394645668566226,111,0.8387096774193549,0.0002,0.0001,0.35,8,128,./mil/paper_MIL_OUT_STAGE1_BIN_CV5_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Bile/checkpoints/rep02_fold01_viewch_FINAL/model.pt,./mil/paper_MIL_OUT_STAGE1_BIN_CV5_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Bile/checkpoints/rep02_fold01_viewch_FINAL/meta.json,CTRL_vs_Bile,2
stage1_MIL_Control_vs_Bile,Bile,2,2,1,10001,1,120,median,59,56,15,"{""Control"": 7, ""Bile"": 8}",1,1,0.2,1,0.0,0.0,1.0,0.7,0.003604238501277,./mil/paper_MIL_OUT_STAGE1_BIN_CV5_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Bile/tuned/rep02_fold02_tuned.json,0.9333333333333332,0.9285714285714286,0.9321266968325792,0.9642857142857144,0.2863442004613047,"6,1,0,8",59,1.0,0.0317504331469535,59,0.8064516129032258,0.0002,0.0001,0.35,8,128,./mil/paper_MIL_OUT_STAGE1_BIN_CV5_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Bile/checkpoints/rep02_fold02_viewall_FINAL/model.pt,./mil/paper_MIL_OUT_STAGE1_BIN_CV5_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Bile/checkpoints/rep02_fold02_viewall_FINAL/meta.json,45,0.9285714285714286,0.0716287046670913,59,0.8064516129032258,0.0002,0.0001,0.35,8,128,./mil/paper_MIL_OUT_STAGE1_BIN_CV5_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Bile/checkpoints/rep02_fold02_viewfp_FINAL/model.pt,./mil/paper_MIL_OUT_STAGE1_BIN_CV5_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Bile/checkpoints/rep02_fold02_viewfp_FINAL/meta.json,117,1.0,0.0078648761846125,59,0.8064516129032258,0.0002,0.0001,0.35,8,128,./mil/paper_MIL_OUT_STAGE1_BIN_CV5_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Bile/checkpoints/rep02_fold02_viewch_FINAL/model.pt,./mil/paper_MIL_OUT_STAGE1_BIN_CV5_FUSION_ON_TRIPLE_allattn_control_added2/CTRL_vs_Bile/checkpoints/rep02_fold02_viewch_FINAL/meta.json,CTRL_vs_Bile,2
